class,property,score
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/discipline,0.000542526
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/hometown,0.035636759
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/ideology,0.003897035
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/season,0.005467092
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/deathPlace,0.164819968
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/deathDate,0.317807932
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/birthPlace,0.475890089
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/birthDate,0.691986621
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,0.090592505
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,0.040803051
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/activeYears,0.000137158
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/agency,0.000241876
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/allegiance,0.009416658
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/almaMater,0.048181121
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/birthName,0.0447351
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/birthYear,0.091024467
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/board,0.000530989
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/bodyDiscovered,8.14E-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/bustSize,9.79E-05
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/careerStation,0.077335995
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/child,0.006119177
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/citizenship,0.003292359
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/college,0.006714477
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/dateOfBurial,6.26E-06
http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/deathCause,0.002958854
