	Feature	F-measure	Nr. of result sets		
21:19:14,001 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.2142857143	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:19:40,032 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.2338935574	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:20:06,584 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.2984055161	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:20:32,610 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:20:58,699 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:21:25,139 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.4454643396	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:21:51,417 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:22:17,518 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.516892911	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:22:43,487 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.581372549	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:23:10,087 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES]	0.581372549	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	4.090433096
21:44:48,432 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS]	0.09728506787	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:45:20,451 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:46:04,761 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS]	0.1056884292	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
