	Feature	F-measure	Nr. of result sets		
00:27:16,426 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.09728506787	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:27:53,439 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:28:34,999 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.1163836164	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:29:09,391 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:29:44,111 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:30:16,762 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:30:49,610 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:31:24,586 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5140917906	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:31:57,162 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.5533074768	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
00:32:35,774 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.6121310062	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.305165423
