	Feature	F-measure	Nr. of result sets		
22:19:45,442 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.09728506787	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:20:29,509 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.1056884292	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:21:10,425 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.1056884292	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:21:58,038 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.2130222718	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:22:50,285 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.2219349278	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:23:29,987 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.3395819866	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:24:07,412 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:24:45,864 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.5533074768	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:25:24,927 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.5533074768	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
22:26:05,054 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_TERMS]	0.6121310062	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.286627098
23:29:40,768 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.1645119586	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:30:15,353 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.1645119586	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:30:50,254 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.1836105071	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:31:32,183 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.2718458013	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:32:04,697 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.2807584572	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:32:38,614 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:33:16,643 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:33:53,581 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:34:25,528 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.5140917906	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
23:34:59,788 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TYPES, NR_OF_CONSTRAINTS]	0.57291532	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.459227047
00:03:10,566 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES, NR_OF_TERMS, NR_OF_CONSTRAINTS]	0.09728506787	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
