	Feature	F-measure	Nr. of result sets		
20:54:47,611 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.2142857143	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:55:14,517 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.2338935574	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:55:40,757 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.2984055161	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:56:06,932 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:56:33,301 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:57:00,082 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.4454643396	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:57:26,700 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:57:53,022 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.516892911	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:58:19,416 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.581372549	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:58:46,329 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, PREDICATES]	0.581372549	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	4.090433096
21:07:02,982 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.2338935574	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:07:28,753 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.280952381	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:07:54,815 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.2984055161	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:08:20,670 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:08:46,448 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:09:12,294 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:09:38,099 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:10:03,951 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:10:30,009 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.5225490196	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:10:55,844 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TYPES]	0.581372549	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.997435897
21:13:06,215 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.1554621849	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:13:33,242 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.2221288515	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:13:59,284 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.3278172808	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:14:25,235 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:14:51,526 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:15:17,630 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:15:43,524 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:16:09,633 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:16:35,901 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.4805322129	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:17:02,098 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES, NR_OF_TYPES]	0.4805322129	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.746735617
21:31:31,412 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.2338935574	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:31:57,712 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.280952381	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:32:23,716 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.3278172808	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:32:50,158 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:33:16,357 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.4454643396	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:33:42,385 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.4454643396	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:34:08,893 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.4846800259	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:34:35,021 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN, NR_OF_TERMS]	0.5140917906	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
