	Feature	F-measure	Nr. of result sets		
20:26:25,630 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.1645119586	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:37:24,732 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.280952381	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:38:21,180 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.3278172808	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:38:47,560 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:39:43,895 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:40:40,331 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:41:36,739 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:42:02,981 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:42:59,671 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.4805322129	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:43:56,069 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PATTERN]	0.4805322129	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.81460892
20:48:08,197 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.1554621849	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:48:34,824 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.2221288515	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:49:31,423 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.3278172808	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:49:57,558 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:50:24,118 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:50:50,443 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.3866408102	6	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:51:16,656 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.4454643396	7	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:51:42,976 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.4748761043	8	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:52:09,687 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.4805322129	9	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
20:52:36,455 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[PREDICATES]	0.4805322129	10	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	3.746735617
21:00:58,636 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.175070028	1	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:01:25,470 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.280952381	2	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:01:52,025 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.2984055161	3	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:02:17,790 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.3866408102	4	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
21:02:43,583 INFO [org.aksw.hawk.controller.Pipeline.run] 144 - <F@n	[NR_OF_TYPES]	0.3866408102	5	/Users/ricardousbeck/Dropbox/Dissertation/git-workspace/hawk/resources/qald-4_hybrid_train.xml>	
